,,,,,,,,,,,,,,,,,,
,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,ALBA,29783190,49020520,108235110,148892710,205847640,256931400,324348444,457376470,624197555,731773066,740460473,733245152,750956846,797864932,809414381,843449967,1102402336
2,ARAD,41287000,69086270,142017350,189110220,284334040,334630380,429491472,626825313,768856403,910027255,930402030,1048093022,992452705,1071189701,1035799644,1089861921,1241554023
3,ARGEŞ,60356080,82198330,196858830,251839550,365850890,455965800,534426758,785422418,1044845317,1246690897,1214009501,1167993896,1160602444,1265692707,1370643002,1485042949,1751840131
4,BACĂU,57833610,90778970,230274200,307443310,420576250,467600870,576923347,781549248,977833748,1197755940,1104670015,1174292649,1206643237,1198952876,1364831838,1307520289,1543215676
5,BIHOR,56639550,94454890,203403300,261592760,378959440,461353370,586485694,938875051,1032787459,1241340611,1211111833,1245764881,1210302600,1249067605,1301930987,1534373173,2014900419
6,BISTRIŢA - NĂSĂUD,26090350,42536880,98229560,113841270,159023890,203315440,247164580,382863799,472668173,555039076,583127155,616437186,652750306,790577214,761319653,918556642,1035216123
7,BOTOŞANI,39454690,56814730,133372190,165797790,245172570,286894305,344845674,476160447,616336862,696025671,704660753,700363764,785641341,826242229,921231333,909079805,1019440341
8,BRAŞOV,69777940,97465450,191722000,259732680,364095230,460183580,558665528,811544280,1114793093,1272888402,1313649053,1286066754,1366802180,1303426681,1359603702,1425557615,1616622775
9,BRĂILA,32890990,48166750,96988010,131129270,189571250,228627570,271901546,388420872,521537867,622522281,631969576,584122333,596603397,689928123,619916448,720001980,849534277
10,BUZĂU,39380400,56247240,134268130,179663090,246963900,298828120,414656550,521842382,687909534,818806726,803478973,790557121,735443642,752710643,831739742,1016950610,1093429758
11,CARAŞ - SEVERIN,26331920,41458850,95134290,125609000,167539604,212848120,301255509,389130446,485685505,557269140,581157401,568604655,657155901,663000621,705673183,850275720,904161945
12,CĂLĂRAŞI,17785980,40371360,79823970,108405100,142083310,180408300,204350478,301057790,423225371,508283558,486804986,488311970,499232010,517143391,546970520,629710115,832733181
13,CLUJ,82189890,112233300,247559980,301337260,416863270,510176370,660431105,965797873,1265405444,1498711384,1511735320,1505502128,1561314541,1604789227,1852314621,1879341483,2120656580
